City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
0,Viedma,AR,53.1,light rain,-40.8135,-62.9967,Hotel Cristal
1,Mar Del Plata,AR,55.13,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
3,Punta Arenas,CL,37.51,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Concordia,AR,49.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
12,Dudinka,RU,56.59,overcast clouds,69.4058,86.1778,Hotel Viktoria
20,Cape Town,ZA,54.27,fog,-33.9258,18.4232,Southern Sun Waterfront Cape Town
22,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
25,Port Macquarie,AU,48.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
37,Ushuaia,AR,37.06,light intensity drizzle,-54.8,-68.3,Albatros Hotel
40,Castro,BR,40.95,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Mataura,NZ,48.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
43,Port Alfred,ZA,57.9,scattered clouds,-33.5906,26.891,The Halyards Hotel
44,Christchurch,NZ,55.0,broken clouds,-43.5333,172.6333,The George
49,Bredasdorp,ZA,43.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
51,Berlevag,NO,45.84,overcast clouds,70.8578,29.0864,Kvitbrakka
53,East London,ZA,58.8,clear sky,-33.0153,27.9116,Tu Casa
55,Tuatapere,NZ,48.81,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
59,Muhos,FI,55.18,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
61,Cidreira,BR,50.29,clear sky,-30.1811,-50.2056,Hotel Castelo
68,Cherskiy,RU,34.97,light rain,68.75,161.3,Gostinitsa
69,Hermanus,ZA,52.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
71,Melioratorov,RU,59.38,broken clouds,57.2107,65.6077,Algorithm hotel
75,Beringovskiy,RU,42.66,overcast clouds,63.05,179.3167,Beringgorski
76,Coihaique,CL,38.01,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
77,Busselton,AU,41.09,overcast clouds,-33.65,115.3333,Observatory Guest House
78,Tiksi,RU,47.97,scattered clouds,71.6872,128.8694,Arktika
80,Upernavik,GL,41.05,broken clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
81,New Norfolk,AU,54.9,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
84,Husavik,IS,53.51,clear sky,66.0449,-17.3389,Bjarnabúð
89,Polyarnyy,RU,48.67,overcast clouds,69.1989,33.4478,Hotel Tatyana
92,Hobart,AU,55.26,light rain,-42.8794,147.3294,Mantra on Collins Hobart
93,Barrow,US,51.82,light rain,71.2906,-156.7887,King Eider Inn
95,Tasiilaq,GL,50.16,few clouds,65.6145,-37.6368,The Red House
98,Broken Hill,AU,55.15,clear sky,-31.95,141.4333,Royal Exchange Hotel
100,Angouleme,FR,59.32,clear sky,45.65,0.15,Mercure Angoulême - Hôtel de France
105,Nanortalik,GL,45.1,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
106,Casma,CL,47.48,scattered clouds,-41.0082,-73.1244,Hospedaje Casma
109,Nome,US,51.17,light rain,64.5011,-165.4064,Dredge 7 Inn
111,Krasnovishersk,RU,50.88,scattered clouds,60.4078,57.082,Vishera
113,Codrington,AU,49.95,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
115,Longyearbyen,SJ,39.04,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
117,Teodoro Sampaio,BR,54.18,overcast clouds,-22.5325,-52.1675,MINI HOTEL
123,Joinville,BR,51.1,clear sky,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
132,Bure,ET,56.25,light rain,10.7,37.0667,Holiday
134,Te Anau,NZ,45.03,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
135,Sisimiut,GL,57.79,broken clouds,66.9395,-53.6735,Hotel Sisimiut
136,Port Elizabeth,ZA,50.29,clear sky,-33.918,25.5701,39 On Nile Guest House
139,Mount Gambier,AU,49.91,light rain,-37.8333,140.7667,The Commodore
143,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
146,Stornoway,GB,56.93,overcast clouds,58.2093,-6.3865,Caladh Inn
150,Bluff,NZ,48.79,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
156,Naryan-Mar,RU,41.56,clear sky,67.6713,53.087,Hostel Agat
157,Port Lincoln,AU,55.38,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
164,Talnakh,RU,58.19,overcast clouds,69.4865,88.3972,Talnakh Hotel
165,Formosa,AR,53.58,smoke,-26.1775,-58.1781,Hotel Portal del Sol
183,Severo-Kurilsk,RU,56.66,overcast clouds,50.6789,156.125,Kak Doma
185,Paamiut,GL,46.44,overcast clouds,61.994,-49.6678,Hotel Ivaana
186,Salta,AR,54.19,clear sky,-24.7859,-65.4117,Hotel Alejandro I
187,Qaanaaq,GL,42.22,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
195,Kaitangata,NZ,52.93,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
196,Brae,GB,51.71,overcast clouds,60.3964,-1.353,Busta House Hotel
210,Chuy,UY,46.0,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
213,Wellingborough,GB,59.29,scattered clouds,52.3027,-0.6945,Premier Inn Wellingborough hotel
222,Mehamn,NO,46.67,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
226,Tevriz,RU,55.13,moderate rain,57.509,72.4042,Postoyalyy Dvor
229,Ilula,TZ,58.08,clear sky,-7.6766,36.0366,FM Lodge
233,Kargasok,RU,49.41,broken clouds,59.0556,80.8572,Hotel Kargasok
235,San Luis,AR,52.39,clear sky,-33.295,-66.3356,Huarpes Hotel
238,Lebu,CL,50.58,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
247,Vestmanna,FO,45.52,broken clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
248,Gujan-Mestras,FR,59.47,clear sky,44.6333,-1.0667,Hôtel La Baie Des Landes
250,Esperance,AU,45.59,broken clouds,-33.8667,121.9,Hospitality Esperance
258,Kruisfontein,ZA,51.48,clear sky,-34.0033,24.7314,Oyster Bay House Rental
266,Ancud,CL,45.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
269,Molteno,ZA,44.91,few clouds,-31.3968,26.3625,Nadirashaleeta B&B
