City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Viedma,AR,-40.8135,-62.9967,53.1,62,87,9.95,light rain
1,Mar Del Plata,AR,-38.0023,-57.5575,55.13,52,0,1.01,clear sky
2,Marzuq,YE,14.4,46.4667,75.67,64,92,8.14,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,75,8.05,broken clouds
4,Komsomolskiy,UZ,40.4272,71.7189,75.92,38,59,6.91,broken clouds
5,Asau,RO,46.4333,26.4,67.12,78,1,3.78,clear sky
6,Rikitea,PF,-23.1203,-134.9692,72.55,72,80,9.69,broken clouds
7,Atuona,PF,-9.8,-139.0333,77.22,76,37,16.93,scattered clouds
8,Marsh Harbour,BS,26.5412,-77.0636,84.87,67,15,10.78,few clouds
9,Pavlohrad,UA,48.5167,35.8667,67.15,78,64,3.89,broken clouds
10,Concordia,AR,-31.393,-58.0209,49.78,72,0,4.0,clear sky
11,Maceio,BR,-9.6658,-35.7353,76.44,83,20,5.75,few clouds
12,Dudinka,RU,69.4058,86.1778,56.59,90,100,3.94,overcast clouds
13,Hithadhoo,MV,-0.6,73.0833,81.21,75,93,5.99,overcast clouds
14,Coari,BR,-4.085,-63.1414,79.65,56,12,0.67,few clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,72,75,13.8,broken clouds
16,Katsuura,JP,35.1333,140.3,81.19,82,10,9.71,clear sky
17,Riyadh,SA,24.6877,46.7219,93.34,14,100,4.76,overcast clouds
18,Marevo,RU,57.3146,32.0804,63.63,61,84,8.19,broken clouds
19,Saint Anthony,US,45.0205,-93.218,81.72,52,40,1.99,haze
20,Cape Town,ZA,-33.9258,18.4232,54.27,94,0,2.3,fog
21,Pisco,PE,-13.7,-76.2167,63.01,77,20,18.41,few clouds
22,Dunedin,NZ,-45.8742,170.5036,51.8,79,97,5.99,overcast clouds
23,Chokurdakh,RU,70.6333,147.9167,57.04,49,100,12.55,overcast clouds
24,Oktyabrskoye,RU,43.0645,44.7417,62.35,93,8,4.47,clear sky
25,Port Macquarie,AU,-31.4333,152.9167,48.88,56,0,7.38,clear sky
