City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021 - 07 - 15 21:47:35,-33.5906,26.891,55.17,53,0,7.09
1,Asuncion Nochixtlan,MX,2021 - 07 - 15 21:47:36,17.4667,-97.2333,65.14,75,97,8.21
2,Punta Arenas,CL,2021 - 07 - 15 21:43:26,-53.15,-70.9167,39.31,93,90,5.75
3,Rikitea,PF,2021 - 07 - 15 21:47:36,-23.1203,-134.9692,73.31,72,11,8.05
4,Upernavik,GL,2021 - 07 - 15 21:47:37,72.7868,-56.1549,42.93,80,100,10.71
5,Mar Del Plata,AR,2021 - 07 - 15 21:44:21,-38.0023,-57.5575,51.87,66,0,1.99
6,Busselton,AU,2021 - 07 - 15 21:46:04,-33.65,115.3333,53.1,75,98,11.59
7,Castro,BR,2021 - 07 - 15 21:46:26,-24.7911,-50.0119,62.51,59,100,4.27
8,Fairfield,US,2021 - 07 - 15 21:45:31,41.2668,-73.3162,88.52,70,1,1.01
9,Seidu,SL,2021 - 07 - 15 21:47:38,9.0167,-10.6,68.36,99,93,3.4
10,Hamilton,US,2021 - 07 - 15 21:44:55,39.1834,-84.5333,90.95,57,40,1.99
11,Kaitangata,NZ,2021 - 07 - 15 21:47:39,-46.2817,169.8464,47.26,96,100,8.63
12,Bluff,NZ,2021 - 07 - 15 21:47:39,-46.6,168.3333,43.81,88,75,10.63
13,Liberty,US,2021 - 07 - 15 21:47:39,31.8335,-81.5004,88.99,45,75,1.99
14,New Norfolk,AU,2021 - 07 - 15 21:47:40,-42.7826,147.0587,49.75,92,100,1.36
15,Ushuaia,AR,2021 - 07 - 15 21:45:22,-54.8,-68.3,31.66,93,75,9.22
16,Namibe,AO,2021 - 07 - 15 21:47:30,-15.1961,12.1522,66.22,81,1,3.06
17,Kitimat,CA,2021 - 07 - 15 21:47:40,54.0524,-128.6534,68.38,69,87,3.0
18,Narsaq,GL,2021 - 07 - 15 21:47:41,60.9167,-46.05,54.09,62,10,4.07
19,Faanui,PF,2021 - 07 - 15 21:47:41,-16.4833,-151.75,79.32,76,86,18.86
20,Vaini,TO,2021 - 07 - 15 21:47:42,-21.2,-175.2,73.56,88,75,11.5
21,Gemlik,TR,2021 - 07 - 15 21:43:15,40.4309,29.1597,79.09,70,0,5.75
22,Batagay-Alyta,RU,2021 - 07 - 15 21:47:42,67.8006,130.4114,55.42,50,0,3.53
23,Tenenkou,ML,2021 - 07 - 15 21:47:43,14.4572,-4.9169,93.72,37,66,2.17
24,Vila Franca Do Campo,PT,2021 - 07 - 15 21:47:43,37.7167,-25.4333,70.21,74,50,2.06
25,Caravelas,BR,2021 - 07 - 15 21:47:43,-17.7125,-39.2481,70.56,86,0,5.14
26,Adet,ET,2021 - 07 - 15 21:47:44,11.2644,37.4888,55.35,96,100,3.24
27,Isilkul,RU,2021 - 07 - 15 21:47:44,54.9109,71.2728,44.87,93,100,11.97
28,Yellowknife,CA,2021 - 07 - 15 21:45:11,62.456,-114.3525,48.72,100,90,14.97
29,Hermanus,ZA,2021 - 07 - 15 21:46:04,-34.4187,19.2345,54.9,60,0,3.56
30,Chokurdakh,RU,2021 - 07 - 15 21:47:45,70.6333,147.9167,59.16,39,85,19.86
31,Dzilam Gonzalez,MX,2021 - 07 - 15 21:47:46,21.2833,-88.9333,87.22,57,18,11.39
32,Lakatoro,VU,2021 - 07 - 15 21:47:46,-16.0999,167.4164,80.69,78,70,11.05
33,Bambous Virieux,MU,2021 - 07 - 15 21:47:46,-20.3428,57.7575,70.05,83,75,11.5
34,Mataura,NZ,2021 - 07 - 15 21:47:47,-46.1927,168.8643,43.48,95,99,5.55
35,Cherskiy,RU,2021 - 07 - 15 21:47:47,68.75,161.3,48.18,58,51,10.83
36,Mareeba,AU,2021 - 07 - 15 21:47:48,-17.0,145.4333,73.33,96,84,0.63
